iter	Passed	Remaining
0	159	159788
1	160	80130
2	161	53562
3	161	40285
4	162	32312
5	162	26998
6	163	23204
7	164	20355
8	164	18137
9	165	16359
10	165	14904
11	166	13692
12	166	12666
13	167	11786
14	167	11028
15	168	10369
16	169	9789
17	169	9266
18	170	8797
19	170	8373
20	171	7992
21	171	7643
22	172	7328
23	173	7037
24	173	6770
25	174	6524
26	174	6295
27	175	6083
28	175	5885
29	176	5701
30	176	5529
31	177	5367
32	178	5216
33	178	5073
34	179	4938
35	179	4811
36	180	4690
37	180	4576
38	181	4467
39	181	4364
40	182	4268
41	183	4175
42	183	4085
43	184	3999
44	184	3917
45	185	3838
46	185	3763
47	186	3690
48	186	3622
49	187	3556
50	187	3492
51	188	3430
52	188	3371
53	189	3314
54	189	3260
55	190	3207
56	190	3156
57	191	3107
58	191	3059
59	192	3012
60	192	2967
61	193	2924
62	193	2882
63	194	2842
64	194	2802
65	195	2764
66	195	2727
67	196	2687
68	196	2654
69	197	2621
70	197	2588
71	198	2557
72	199	2527
73	199	2498
74	200	2469
75	200	2442
76	201	2415
77	202	2388
78	202	2362
79	203	2336
80	203	2311
81	204	2286
82	204	2262
83	205	2239
84	205	2214
85	206	2192
86	206	2168
87	207	2147
88	207	2126
89	208	2106
90	208	2086
91	209	2066
92	209	2047
93	210	2028
94	211	2010
95	211	1993
96	212	1975
97	212	1958
98	213	1942
99	213	1925
100	214	1909
101	214	1891
102	215	1876
103	216	1860
104	216	1845
105	217	1830
106	217	1815
107	218	1801
108	218	1787
109	219	1773
110	219	1760
111	220	1746
112	220	1733
113	221	1720
114	221	1707
115	222	1693
116	222	1681
117	223	1669
118	223	1656
119	224	1645
120	224	1633
121	225	1621
122	225	1609
123	226	1598
124	226	1587
125	227	1577
126	227	1567
127	228	1555
128	228	1545
129	229	1535
130	229	1525
131	230	1515
132	231	1506
133	231	1496
134	232	1487
135	232	1478
136	233	1468
137	233	1459
138	234	1450
139	234	1441
140	235	1433
141	235	1424
142	236	1416
143	236	1408
144	237	1399
145	237	1391
146	238	1383
147	239	1376
148	239	1368
149	240	1361
150	240	1354
151	241	1346
152	241	1339
153	242	1332
154	243	1325
155	243	1317
156	244	1311
157	244	1303
158	245	1296
159	245	1290
160	246	1283
161	246	1276
162	247	1270
163	247	1263
164	248	1257
165	248	1250
166	249	1244
167	250	1238
168	250	1232
169	251	1226
170	251	1220
171	252	1214
172	252	1208
173	253	1202
174	253	1196
175	254	1191
176	254	1185
177	255	1179
178	256	1174
179	256	1168
180	256	1162
181	257	1156
182	257	1151
183	258	1145
184	258	1140
185	259	1135
186	260	1130
187	260	1125
188	261	1120
189	261	1116
190	262	1111
191	262	1106
192	263	1101
193	263	1096
194	264	1091
195	265	1087
196	265	1082
197	266	1077
198	266	1073
199	267	1069
200	268	1065
201	268	1061
202	269	1057
203	269	1053
204	270	1049
205	271	1045
206	271	1041
207	272	1037
208	272	1033
209	273	1028
210	274	1024
211	274	1020
212	275	1016
213	275	1012
214	276	1007
215	276	1003
216	277	999
217	277	996
218	278	992
219	278	988
220	279	984
221	279	980
222	280	976
223	280	972
224	281	969
225	281	965
226	282	961
227	283	958
228	283	954
229	284	951
230	284	947
231	285	944
232	285	940
233	286	937
234	286	933
235	287	930
236	287	926
237	288	923
238	288	920
239	289	916
240	290	913
241	290	909
242	291	906
243	291	903
244	292	899
245	292	896
246	293	893
247	293	890
248	294	886
249	294	883
250	295	880
251	295	877
252	296	873
253	296	870
254	297	867
255	297	864
256	298	861
257	298	858
258	299	855
259	299	852
260	300	849
261	300	846
262	301	843
263	301	840
264	302	837
265	302	835
266	303	832
267	303	829
268	304	826
269	304	823
270	305	821
271	305	818
272	306	815
273	306	813
274	307	810
275	307	807
276	308	805
277	308	802
278	309	799
279	310	797
280	310	794
281	311	792
282	311	789
283	312	787
284	312	784
285	313	781
286	313	779
287	314	777
288	314	774
289	315	772
290	315	769
291	316	767
292	317	765
293	317	762
294	318	760
295	318	757
296	319	755
297	319	753
298	320	750
299	320	748
300	321	746
301	321	743
302	322	741
303	322	739
304	323	737
305	323	734
306	324	732
307	324	730
308	325	727
309	325	725
310	326	723
311	327	721
312	327	719
313	328	716
314	328	714
315	329	712
316	329	710
317	330	708
318	330	706
319	331	704
320	331	702
321	332	700
322	332	697
323	333	695
324	334	693
325	334	691
326	335	689
327	335	687
328	336	685
329	336	683
330	337	681
331	337	679
332	338	677
333	338	675
334	339	673
335	339	671
336	340	669
337	341	668
338	341	666
339	342	664
340	342	662
341	343	660
342	343	658
343	344	656
344	344	654
345	345	652
346	346	651
347	346	649
348	347	647
349	347	645
350	348	643
351	348	641
352	349	639
353	349	638
354	350	636
355	350	634
356	351	632
357	351	630
358	352	629
359	352	627
360	353	625
361	354	623
362	354	622
363	355	620
364	355	619
365	356	617
366	356	615
367	357	613
368	357	612
369	358	610
370	359	608
371	359	607
372	360	605
373	360	603
374	361	602
375	361	600
376	362	598
377	362	597
378	363	595
379	363	593
380	364	592
381	365	590
382	365	588
383	366	587
384	366	585
385	367	584
386	367	582
387	368	580
388	368	579
389	369	577
390	369	576
391	370	574
392	371	573
393	371	571
394	372	569
395	372	568
396	373	566
397	373	565
398	374	563
399	374	562
400	375	560
401	375	559
402	376	557
403	376	556
404	377	554
405	377	553
406	378	551
407	379	550
408	379	548
409	380	547
410	380	545
411	381	544
412	381	542
413	382	541
414	382	539
415	383	538
416	384	536
417	384	535
418	385	534
419	386	533
420	386	531
421	387	530
422	387	529
423	388	527
424	389	526
425	389	525
426	390	524
427	391	522
428	391	521
429	392	519
430	392	518
431	393	517
432	393	515
433	394	514
434	394	513
435	395	511
436	396	510
437	396	509
438	397	507
439	397	506
440	398	505
441	399	503
442	399	502
443	400	501
444	400	499
445	401	498
446	402	497
447	402	496
448	403	494
449	403	493
450	404	492
451	405	491
452	405	489
453	406	488
454	406	487
455	407	486
456	408	484
457	408	483
458	409	482
459	409	481
460	410	479
461	411	478
462	411	477
463	412	476
464	412	475
465	413	473
466	414	472
467	414	471
468	415	470
469	415	469
470	416	467
471	417	466
